id,img_path,gt_path
TRAIN_SOURCE_1097,./fish_train_source_image/TRAIN_SOURCE_1097.png,./fish_train_source_gt/TRAIN_SOURCE_1097.png
TRAIN_SOURCE_1098,./fish_train_source_image/TRAIN_SOURCE_1098.png,./fish_train_source_gt/TRAIN_SOURCE_1098.png
TRAIN_SOURCE_1099,./fish_train_source_image/TRAIN_SOURCE_1099.png,./fish_train_source_gt/TRAIN_SOURCE_1099.png
TRAIN_SOURCE_1100,./fish_train_source_image/TRAIN_SOURCE_1100.png,./fish_train_source_gt/TRAIN_SOURCE_1100.png
TRAIN_SOURCE_1101,./fish_train_source_image/TRAIN_SOURCE_1101.png,./fish_train_source_gt/TRAIN_SOURCE_1101.png
TRAIN_SOURCE_1102,./fish_train_source_image/TRAIN_SOURCE_1102.png,./fish_train_source_gt/TRAIN_SOURCE_1102.png
TRAIN_SOURCE_1103,./fish_train_source_image/TRAIN_SOURCE_1103.png,./fish_train_source_gt/TRAIN_SOURCE_1103.png
TRAIN_SOURCE_1104,./fish_train_source_image/TRAIN_SOURCE_1104.png,./fish_train_source_gt/TRAIN_SOURCE_1104.png
TRAIN_SOURCE_1105,./fish_train_source_image/TRAIN_SOURCE_1105.png,./fish_train_source_gt/TRAIN_SOURCE_1105.png
TRAIN_SOURCE_1106,./fish_train_source_image/TRAIN_SOURCE_1106.png,./fish_train_source_gt/TRAIN_SOURCE_1106.png
TRAIN_SOURCE_1107,./fish_train_source_image/TRAIN_SOURCE_1107.png,./fish_train_source_gt/TRAIN_SOURCE_1107.png
TRAIN_SOURCE_1108,./fish_train_source_image/TRAIN_SOURCE_1108.png,./fish_train_source_gt/TRAIN_SOURCE_1108.png
TRAIN_SOURCE_1109,./fish_train_source_image/TRAIN_SOURCE_1109.png,./fish_train_source_gt/TRAIN_SOURCE_1109.png
TRAIN_SOURCE_1110,./fish_train_source_image/TRAIN_SOURCE_1110.png,./fish_train_source_gt/TRAIN_SOURCE_1110.png
TRAIN_SOURCE_1111,./fish_train_source_image/TRAIN_SOURCE_1111.png,./fish_train_source_gt/TRAIN_SOURCE_1111.png
TRAIN_SOURCE_1112,./fish_train_source_image/TRAIN_SOURCE_1112.png,./fish_train_source_gt/TRAIN_SOURCE_1112.png
TRAIN_SOURCE_1113,./fish_train_source_image/TRAIN_SOURCE_1113.png,./fish_train_source_gt/TRAIN_SOURCE_1113.png
TRAIN_SOURCE_1114,./fish_train_source_image/TRAIN_SOURCE_1114.png,./fish_train_source_gt/TRAIN_SOURCE_1114.png
TRAIN_SOURCE_1115,./fish_train_source_image/TRAIN_SOURCE_1115.png,./fish_train_source_gt/TRAIN_SOURCE_1115.png
TRAIN_SOURCE_1116,./fish_train_source_image/TRAIN_SOURCE_1116.png,./fish_train_source_gt/TRAIN_SOURCE_1116.png
TRAIN_SOURCE_1117,./fish_train_source_image/TRAIN_SOURCE_1117.png,./fish_train_source_gt/TRAIN_SOURCE_1117.png
TRAIN_SOURCE_1118,./fish_train_source_image/TRAIN_SOURCE_1118.png,./fish_train_source_gt/TRAIN_SOURCE_1118.png
TRAIN_SOURCE_1119,./fish_train_source_image/TRAIN_SOURCE_1119.png,./fish_train_source_gt/TRAIN_SOURCE_1119.png
TRAIN_SOURCE_1120,./fish_train_source_image/TRAIN_SOURCE_1120.png,./fish_train_source_gt/TRAIN_SOURCE_1120.png
TRAIN_SOURCE_1121,./fish_train_source_image/TRAIN_SOURCE_1121.png,./fish_train_source_gt/TRAIN_SOURCE_1121.png
TRAIN_SOURCE_1122,./fish_train_source_image/TRAIN_SOURCE_1122.png,./fish_train_source_gt/TRAIN_SOURCE_1122.png
TRAIN_SOURCE_1123,./fish_train_source_image/TRAIN_SOURCE_1123.png,./fish_train_source_gt/TRAIN_SOURCE_1123.png
TRAIN_SOURCE_1124,./fish_train_source_image/TRAIN_SOURCE_1124.png,./fish_train_source_gt/TRAIN_SOURCE_1124.png
TRAIN_SOURCE_1125,./fish_train_source_image/TRAIN_SOURCE_1125.png,./fish_train_source_gt/TRAIN_SOURCE_1125.png
TRAIN_SOURCE_1126,./fish_train_source_image/TRAIN_SOURCE_1126.png,./fish_train_source_gt/TRAIN_SOURCE_1126.png
TRAIN_SOURCE_1127,./fish_train_source_image/TRAIN_SOURCE_1127.png,./fish_train_source_gt/TRAIN_SOURCE_1127.png
TRAIN_SOURCE_1128,./fish_train_source_image/TRAIN_SOURCE_1128.png,./fish_train_source_gt/TRAIN_SOURCE_1128.png
TRAIN_SOURCE_1129,./fish_train_source_image/TRAIN_SOURCE_1129.png,./fish_train_source_gt/TRAIN_SOURCE_1129.png
TRAIN_SOURCE_1130,./fish_train_source_image/TRAIN_SOURCE_1130.png,./fish_train_source_gt/TRAIN_SOURCE_1130.png
TRAIN_SOURCE_1131,./fish_train_source_image/TRAIN_SOURCE_1131.png,./fish_train_source_gt/TRAIN_SOURCE_1131.png
TRAIN_SOURCE_1132,./fish_train_source_image/TRAIN_SOURCE_1132.png,./fish_train_source_gt/TRAIN_SOURCE_1132.png
TRAIN_SOURCE_1133,./fish_train_source_image/TRAIN_SOURCE_1133.png,./fish_train_source_gt/TRAIN_SOURCE_1133.png
TRAIN_SOURCE_1134,./fish_train_source_image/TRAIN_SOURCE_1134.png,./fish_train_source_gt/TRAIN_SOURCE_1134.png
